"","country","year","sex","total"
"139","Finland",2011,"female",7.78400541026911
"140","Finland",2011,"male",28.5035248020812
"141","Finland",2012,"female",8.36547774552677
"142","Finland",2012,"male",26.1529038507456
"143","Finland",2013,"female",8.44469375184369
"144","Finland",2013,"male",26.4453096305003
"145","Finland",2014,"female",7.22977204909244
"146","Finland",2014,"male",23.6579167920655
"147","Finland",2015,"female",6.55901291784325
"148","Finland",2015,"male",21.9321949292608
"149","Lithuania",1981,"female",11.5391443280667
"150","Lithuania",1981,"male",64.7685872351909
"151","Lithuania",1982,"female",13.2212950993066
"152","Lithuania",1982,"male",63.5175879396985
"153","Lithuania",1983,"female",0
"154","Lithuania",1983,"male",0
"155","Lithuania",1985,"female",13.9216475867227
"156","Lithuania",1985,"male",63.2364493322859
"157","Lithuania",1986,"female",10.9607809556431
"158","Lithuania",1986,"male",46.5629053177691
"159","Lithuania",1987,"female",12.3435819036295
"160","Lithuania",1987,"male",53.3949428828135
"161","Lithuania",1988,"female",13.1320500589259
"162","Lithuania",1988,"male",46.5986178913333
"163","Lithuania",1989,"female",10.5163295227868
"164","Lithuania",1989,"male",50.7686205996345
"165","Lithuania",1990,"female",10.5156486688572
"166","Lithuania",1990,"male",48.523711358233
"167","Lithuania",1991,"female",12.1890550007666
"168","Lithuania",1991,"male",57.26977550248
"169","Lithuania",1992,"female",14.9322648223391
"170","Lithuania",1992,"male",63.5198718901859
"171","Lithuania",1993,"female",15.068894655179
"172","Lithuania",1993,"male",80.3293064653545
"173","Lithuania",1994,"female",14.5014971965617
"174","Lithuania",1994,"male",90.2121679778171
"175","Lithuania",1995,"female",16.9846854752631
"176","Lithuania",1995,"male",87.5419261494293
"177","Lithuania",1996,"female",18.5825518739725
"178","Lithuania",1996,"male",87.9718185955185
"179","Lithuania",1997,"female",15.834791825456
"180","Lithuania",1997,"male",85.818657791099
"181","Lithuania",1998,"female",14.9878084244905
"182","Lithuania",1998,"male",82.2214245357689
"183","Lithuania",1999,"female",14.8831420615567
"184","Lithuania",1999,"male",82.7476602052657
"185","Lithuania",2000,"female",17.7159012626247
"186","Lithuania",2000,"male",85.3694741577462
"187","Lithuania",2001,"female",15.7692292420503
"188","Lithuania",2001,"male",81.9612711768659
