"","country","sex","total_suicides","total_pop","suicides_per_100k","latitude","longitude"
"81","Latvia","female",81,1020425,7.93786902516108,56.879635,24.653189
"82","Latvia","male",306,855097,35.7854138185492,56.879635,24.603189
"83","Lithuania","female",169,1493405,11.3164211985362,55.169438,23.931275
"84","Lithuania","male",727,1260521,57.6745647236341,55.169438,23.881275
"85","Luxembourg","female",19,268532,7.07550682972607,49.815273,6.179583
"86","Luxembourg","male",45,269216,16.7152026625461,49.815273,6.129583
"87","Malta","female",7,205464,3.40692286726629,35.937496,14.425416
"88","Malta","male",27,205173,13.159626266614,35.937496,14.375416
"89","Mauritius","female",26,584173,4.45073634009103,-20.348404,57.602152
"90","Mauritius","male",78,570675,13.6680247075831,-20.348404,57.552152
"91","Mexico","female",1248,57572745,2.1676923690194,23.634501,-102.502784
"92","Mexico","male",4986,56785139,8.7804663117933,23.634501,-102.552784
"93","Montserrat","female",0,2362,0,16.742498,-62.137366
"94","Montserrat","male",0,2671,0,16.742498,-62.187366
"95","Netherlands","female",591,8114362,7.2833822301741,52.132633,5.341266
"96","Netherlands","male",1282,7942980,16.1400381217125,52.132633,5.291266
"97","Nicaragua","female",85,2787968,3.04881548138286,12.865416,-85.157229
"98","Nicaragua","male",230,2688515,8.55490856476531,12.865416,-85.207229
"99","Norway","female",190,2428440,7.82395282568233,60.472024,8.518946
"100","Norway","male",400,2454469,16.2968039115589,60.472024,8.468946
"101","Occupied Palestinian Territory","female",3,1375106,0.218164999643664,31.9522,35.2832
"102","Occupied Palestinian Territory","male",9,1423388,0.632294216334548,31.9522,35.2332
"103","Panama","female",19,1790195,1.06133689346691,8.537981,-80.732127
"104","Panama","male",91,1793187,5.07476353553757,8.537981,-80.782127
"105","Peru","female",95,16702546,0.5687755627196,-9.189967,-74.965152
"106","Peru","male",169,16777040,1.00732906400652,-9.189967,-75.015152
"107","Poland","female",723,18675823,3.87131533641114,51.919438,19.195136
"108","Poland","male",4697,17410752,26.9775825880467,51.919438,19.145136
"109","Puerto Rico","female",25,1808555,1.3823190337037,18.220833,-66.540149
"110","Puerto Rico","male",201,1660966,12.1013915998281,18.220833,-66.590149
"111","Qatar","female",9,548180,1.64179649020395,25.354826,51.233884
"112","Qatar","male",57,1805967,3.15620385090093,25.354826,51.183884
"113","Republic of Korea","female",3954,24383951,16.215583766552,35.9078,127.8169
"114","Republic of Korea","male",9556,24287801,39.3448546453423,35.9078,127.7669
"115","Republic of Moldova","female",92,1751458,5.25276655220964,47.4116,28.4199
"116","Republic of Moldova","male",464,1611102,28.8001628698866,47.4116,28.3699
"117","Rodrigues","female",1,19617,5.09761941173472,-19.7245,63.4772
"118","Rodrigues","male",1,18916,5.28652992175936,-19.7245,63.4272
"119","Romania","female",342,9674747,3.5349761601001,45.943161,25.01676
"120","Romania","male",1886,9189180,20.524138171197,45.943161,24.96676
"121","Russian Federation","female",4571,74007955,6.17636306799722,61.524,105.3688
"122","Russian Federation","male",20861,63010988,33.1069241447222,61.524,105.3188
